"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"236","117580","대성에너지","KOSPI","전기가스업",5200,-30,-0.57,1.43e+11
"237","016710","대성홀딩스","KOSPI","서비스업",26900,250,0.94,432806447100
"238","003540","대신증권","KOSPI","증권",15050,100,0.67,764139670000
"239","003547","대신증권2우B","KOSPI","증권",10550,100,0.96,1.055e+11
"240","003545","대신증권우","KOSPI","증권",11300,150,1.35,2.938e+11
"241","009190","대양금속","KOSPI","철강금속",3820,-55,-1.42,112941886980
"242","014160","대영포장","KOSPI","종이목재",2750,-85,-3,298085009750
"243","047040","대우건설","KOSPI","건설업",5550,-120,-2.12,2306705640900
"244","009320","대우부품","KOSPI","운수장비",2765,10,0.36,131742226875
"245","042660","대우조선해양","KOSPI","운수장비",24850,-250,-1,2666173124650
"246","003090","대웅","KOSPI","기타금융",34600,-1100,-3.08,2011712508000
"247","069620","대웅제약","KOSPI","의약품",128500,-2000,-1.53,1488874887500
"248","000430","대원강업","KOSPI","운수장비",4155,-40,-0.95,2.5761e+11
"249","006340","대원전선","KOSPI","전기전자",1595,25,1.59,113272062365
"250","006345","대원전선우","KOSPI","전기전자",2555,5,0.2,6697166000
"251","003220","대원제약","KOSPI","의약품",16200,-400,-2.41,327946368600
"252","024890","대원화성","KOSPI","화학",1825,-20,-1.08,75279702400
"253","002880","대유에이텍","KOSPI","운수장비",1225,60,5.15,130972084075
"254","000300","대유플러스","KOSPI","전기전자",814,-11,-1.33,96829473378
"255","012800","대창","KOSPI","철강금속",1990,-55,-2.69,181369593010
"256","015230","대창단조","KOSPI","운수장비",6540,40,0.62,93431192100
"257","001070","대한방직","KOSPI","섬유의복",39800,-50,-0.13,2.1094e+11
"258","006650","대한유화","KOSPI","화학",351500,5500,1.59,2.28475e+12
"259","001440","대한전선","KOSPI","전기전자",964,19,2.01,825639980676
"260","084010","대한제강","KOSPI","철강금속",13300,-300,-2.21,327801562200
"261","001790","대한제당","KOSPI","음식료품",22350,-450,-1.97,200471856300
"262","001795","대한제당우","KOSPI","음식료품",17450,300,1.75,11312416200
"263","001130","대한제분","KOSPI","음식료품",142500,-1500,-1.04,2.40825e+11
"264","003490","대한항공","KOSPI","운수창고업",27700,-350,-1.25,4825609050100
"265","003495","대한항공우","KOSPI","운수창고업",39450,-600,-1.5,43820823300
"266","005880","대한해운","KOSPI","운수창고업",3440,160,4.88,840292549600
"267","003830","대한화섬","KOSPI","화학",115500,2000,1.76,1.53384e+11
"268","016090","대현","KOSPI","섬유의복",2070,-40,-1.9,91664381700
"269","069460","대호에이엘","KOSPI","철강금속",2460,120,5.13,66751703940
"270","192080","더블유게임즈","KOSPI","서비스업",55700,-300,-0.54,1023459761400
"271","012510","더존비즈온","KOSPI","서비스업",104500,-1000,-0.95,3154878094500
"272","004830","덕성","KOSPI","화학",9850,-1050,-9.63,1.54448e+11
"273","004835","덕성우","KOSPI","화학",15700,-2950,-15.82,21854400000
"274","024900","덕양산업","KOSPI","운수장비",3195,-105,-3.18,104045111100
"275","145720","덴티움","KOSPI","의료정밀",61900,1800,3,685160577000
"276","002150","도화엔지니어링","KOSPI","서비스업",8150,-60,-0.73,2.74818e+11
"277","001230","동국제강","KOSPI","철강금속",9820,420,4.47,937149477340
"278","023450","동남합성","KOSPI","화학",46700,-500,-1.06,1.68587e+11
"279","004140","동방","KOSPI","운수창고업",11100,550,5.21,441520049100
"280","007590","동방아그로","KOSPI","화학",6690,10,0.15,91101590130
"281","005960","동부건설","KOSPI","건설업",12050,0,0,273612204350
"282","005965","동부건설우","KOSPI","건설업",22050,50,0.23,4977390600
"283","026960","동서","KOSPI","유통업",33550,-7100,-17.47,3.344935e+12
"284","002210","동성제약","KOSPI","의약품",12600,-50,-0.4,328872222000
"285","102260","동성코퍼레이션","KOSPI","서비스업",4930,-25,-0.5,216885549160
"286","005190","동성화학","KOSPI","화학",16100,0,0,85902580400
"287","000640","동아쏘시오홀딩스","KOSPI","기타금융",107000,-3000,-2.73,658622022000
"288","170900","동아에스티","KOSPI","의약품",82800,0,0,699152270400
"289","028100","동아지질","KOSPI","건설업",16100,-350,-2.13,1.8515e+11
"290","282690","동아타이어","KOSPI","화학",10450,0,0,143510006750
"291","001520","동양","KOSPI","비금속광물",1245,10,0.81,297161658435
"292","001527","동양2우B","KOSPI","비금속광물",11500,-200,-1.71,3548543500
"293","001529","동양3우B","KOSPI","비금속광물",24850,450,1.84,2229591700
"294","084670","동양고속","KOSPI","운수창고업",23450,0,0,67901093050
"295","002900","동양물산","KOSPI","기계",1515,-15,-0.98,207369510975
"296","082640","동양생명","KOSPI","보험",4220,50,1.2,680933228700
"297","001525","동양우","KOSPI","비금속광물",6620,-70,-1.05,4089379220
"298","008970","동양철관","KOSPI","철강금속",1305,-15,-1.14,155145303450
"299","092780","동양피스톤","KOSPI","운수장비",5920,-80,-1.33,77957283200
"300","049770","동원F&B","KOSPI","음식료품",199500,-2500,-1.24,769895238000
"301","018500","동원금속","KOSPI","운수장비",1195,70,6.22,55872144935
"302","006040","동원산업","KOSPI","농업, 임업 및 어업",252500,-6000,-2.32,928604352500
"303","030720","동원수산","KOSPI","농업, 임업 및 어업",8830,0,0,41093098150
"304","014820","동원시스템즈","KOSPI","화학",47500,-400,-0.84,1216879272500
"305","014825","동원시스템즈우","KOSPI","화학",31250,-250,-0.79,8292437500
"306","163560","동일고무벨트","KOSPI","화학",8830,-30,-0.34,120529500000
"307","004890","동일산업","KOSPI","철강금속",78500,500,0.64,190379377500
"308","002690","동일제강","KOSPI","철강금속",3355,-110,-3.17,5.0325e+10
"309","000020","동화약품","KOSPI","의약품",13950,200,1.45,389644006500
"310","000150","두산","KOSPI","서비스업",47750,-100,-0.21,789013121250
"311","000157","두산2우B","KOSPI","서비스업",54500,-400,-0.73,48670571000
"312","241560","두산밥캣","KOSPI","기계",32950,-650,-1.93,3303210019700
"313","000155","두산우","KOSPI","서비스업",37350,-550,-1.45,149267855700
"314","042670","두산인프라코어","KOSPI","기계",7890,-70,-0.88,1705706033010
"315","034020","두산중공업","KOSPI","기계",10800,-350,-3.14,4046082354000
"316","336260","두산퓨얼셀","KOSPI","전기전자",51800,-1900,-3.54,3392575006800
"317","33626K","두산퓨얼셀1우","KOSPI","전기전자",15200,-650,-4.1,203135840000
"318","33626L","두산퓨얼셀2우B","KOSPI","전기전자",18400,-350,-1.87,54947920000
"319","016740","두올","KOSPI","운수장비",5150,-50,-0.96,139393402000
"320","192650","드림텍","KOSPI","전기전자",9060,-180,-1.95,597184264680
"321","024090","디씨엠","KOSPI","철강금속",12800,100,0.79,1.4976e+11
"322","003160","디아이","KOSPI","의료정밀",6410,170,2.72,201894391850
"323","092200","디아이씨","KOSPI","운수장비",3160,-65,-2.02,122887878040
"324","013570","디와이","KOSPI","기타금융",5930,-130,-2.15,156075423690
"325","210540","디와이파워","KOSPI","기계",15350,-350,-2.23,169490217800
"326","007340","디티알오토모티브","KOSPI","전기전자",28350,-200,-0.7,283330041750
"327","026890","디피씨","KOSPI","전기전자",11100,-250,-2.2,462627742500
"328","115390","락앤락","KOSPI","화학",14850,100,0.68,787163424300
"329","032350","롯데관광개발","KOSPI","서비스업",20700,150,0.73,1434006203400
"330","330590","롯데리츠","KOSPI","서비스업",4885,-20,-0.41,840067998340
"331","000400","롯데손해보험","KOSPI","보험",1685,0,0,522916699200
"332","023530","롯데쇼핑","KOSPI","유통업",128000,-1500,-1.16,3620960640000
"333","004000","롯데정밀화학","KOSPI","화학",51300,-500,-0.97,1.32354e+12
"334","286940","롯데정보통신","KOSPI","서비스업",39300,150,0.38,605075808300
"335","280360","롯데제과","KOSPI","음식료품",123000,0,0,789256191000
"336","004990","롯데지주","KOSPI","기타금융",32800,-500,-1.5,3441022973600
"337","00499K","롯데지주우","KOSPI","기타금융",57900,200,0.35,57183371700
