"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"72","069330","유아이디",1055,0,0,"KOSDAQ","IT부품",12541620560,NA,NA,1284,0.82,0,0
"73","101680","한국정밀기계",1440,0,0,"KOSDAQ","기계·장비",12101760000,NA,NA,6762,0.21,0,0
"74","058220","아리온",275,0,0,"KOSDAQ","통신장비",10717917100,NA,NA,523,0.53,0,0
"75","038160","팍스넷",862,0,0,"KOSDAQ","금융",10551204112,NA,NA,1132,0.76,0,0
"76","033600","럭슬",179,0,0,"KOSDAQ","운송장비·부품",9456230437,NA,NA,988,0.18,0,0
"77","226350","아이엠텍",214,0,0,"KOSDAQ","통신장비",9318361858,NA,NA,456,0.47,0,0
"78","195440","퓨전",2075,0,0,"KOSDAQ","소프트웨어",8582183400,NA,NA,8080,0.26,0,0
"79","121890","에스디시스템",739,0,0,"KOSDAQ","정보기기",7101198800,NA,NA,1021,0.72,0,0
"80","114570","지스마트글로벌",620,0,0,"KOSDAQ","반도체",7030424280,NA,NA,4180,0.15,0,0
"81","058420","제이웨이",308,0,0,"KOSDAQ","오락·문화",6676487972,NA,NA,578,0.53,0,0
"82","080440","에스제이케이",498,0,0,"KOSDAQ","유통",6636328080,NA,NA,997,0.5,0,0
"83","158310","스타모빌리티",505,0,0,"KOSDAQ","기계·장비",6096179210,NA,NA,2426,0.21,0,0
